gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,wahlbez_nr,wahlbezirk,landtagswa,flaeche
187,KiTa und Familienzentrum Sieker Mäuse,33604.000000000000000,Bielefeld,Manchesterstraße,4.000000000000000,,x,,469659.068030000024009,5762480.927360000088811,5,"2",Ostpark / Sieker-West,"92",2241673.775777149945498
12,AWO KiTa und Familienzentrum Lohmann-Carree,33604.000000000000000,Bielefeld,Königsbrügge,2.000000000000000,,x,,469175.115029999986291,5761828.952360000461340,5,"2",Ostpark / Sieker-West,"92",2241673.775777149945498
19,Elterninitiative Kita Waldquelle e.V.,33649.000000000000000,Bielefeld,Waldquellenweg,20.000000000000000,,,,463773.698030000028666,5759878.121360000222921,6,"17",Quelle,"93",9474439.500544700771570
119,städt. KiTa Am Lichtebach,33649.000000000000000,Bielefeld,Carl-Severing-Straße,150.000000000000000,,,x,463680.725029999972321,5760892.274360000155866,6,"17",Quelle,"93",9474439.500544700771570
122,städt. KiTa Auf dem Rennplatz,33649.000000000000000,Bielefeld,Galoppweg,1.000000000000000,,x,x,464262.013029999972787,5760866.806359999813139,6,"17",Quelle,"93",9474439.500544700771570
188,Waldkindergarten Bielefeld,33649.000000000000000,Bielefeld,Niederbreede,1.000000000000000,,,,464992.870029999990948,5761468.441359999589622,6,"17",Quelle,"93",9474439.500544700771570
199,Queller Falkenküken,33649.000000000000000,Bielefeld,Schäferkamp,16.000000000000000,c,,,463623.570000000006985,5760209.589359999634326,6,"17",Quelle,"93",9474439.500544700771570
169,Ev. Johannes-Kindergarten,33649.000000000000000,Bielefeld,Klemensstraße,9.000000000000000,,,,464597.035030000028200,5760749.000359999947250,6,"17",Quelle,"93",9474439.500544700771570
198,KiTa Möllernest,33649.000000000000000,Bielefeld,Gütersloher Strasse,50.000000000000000,,,,465225.020000000018626,5760292.360000000335276,6,"17",Quelle,"93",9474439.500544700771570
219,Kita Arminstraße,33649.000000000000000,Bielefeld,Arminstraße,45.000000000000000,,,,,,6,"17",Quelle,"93",9474439.500544700771570
31,DRK KiTa Heeper Strolche,33719.000000000000000,Bielefeld,Rüggesiek,21.000000000000000,,,,473390.173019999987446,5764561.707360000349581,7,"25",Heepen-Nord,"93",6483380.501765931025147
33,DRK KiTa Lummerland,33719.000000000000000,Bielefeld,Salzufler Straße,48.000000000000000,,,,473168.665020000014920,5764407.594359999522567,7,"25",Heepen-Nord,"93",6483380.501765931025147
36,DRK KiTa und Familienzentrum Nestwerk,33719.000000000000000,Bielefeld,Rüggesiek,26.000000000000000,,x,,473430.903020000027027,5764541.446360000409186,7,"25",Heepen-Nord,"93",6483380.501765931025147
71,Evangelisches Familienzentrum Die Kinderbrücke,33719.000000000000000,Bielefeld,Oberlinstraße,4.000000000000000,,x,,472704.222019999928307,5764626.375359999947250,7,"25",Heepen-Nord,"93",6483380.501765931025147
203,Kita Am Alten Bauhof,33719.000000000000000,Bielefeld,Altenhagener Straße,60.000000000000000,,,,,,7,"25",Heepen-Nord,"93",6483380.501765931025147
2,AWO Familienzentrum/ KiTa Am Stadion,33689.000000000000000,Bielefeld,Am Stadion,97.000000000000000,,x,,472594.901019999990240,5755808.170370000414550,8,"30",Sennestadt-Nord,"93",9915846.469607390463352
11,AWO KiTa und Familienzentrum Lilienthalstraße,33689.000000000000000,Bielefeld,Lilienthalstraße,6.000000000000000,a,x,,471406.637020000023767,5756234.139370000921190,8,"30",Sennestadt-Nord,"93",9915846.469607390463352
196,AWO Kita Elbeallee,33689.000000000000000,Bielefeld,Elbeallee,72.000000000000000,,x,,471977.890019999991637,5755321.264369999989867,8,"30",Sennestadt-Nord,"93",9915846.469607390463352
173,Ev. Familienzentrum und KiTa Morgenstern,33689.000000000000000,Bielefeld,Jadeweg,62.000000000000000,,x,,471256.923030000005383,5755159.329370000399649,8,"30",Sennestadt-Nord,"93",9915846.469607390463352
29,DRK Kita und Familienzentrum Bullerbü,33689.000000000000000,Bielefeld,Travestraße,25.000000000000000,a,x,,471961.979020000027958,5755945.031369999982417,8,"30",Sennestadt-Nord,"93",9915846.469607390463352
98,Kath. KiTa St. Thomas Morus,33689.000000000000000,Bielefeld,Rheinallee,48.000000000000000,,x,,471440.023020000022370,5755774.101370000280440,8,"30",Sennestadt-Nord,"93",9915846.469607390463352
171,Ökumenisches Familienzentrum und KiTa Matthias-Claudius,33689.000000000000000,Bielefeld,Matthias-Claudius-Weg,4.000000000000000,,x,,471977.890019999991637,5755321.264369999989867,8,"30",Sennestadt-Nord,"93",9915846.469607390463352
34,DRK KiTa Mehlhausen,33729.000000000000000,Bielefeld,Mehlstraße,14.000000000000000,,,,473589.226020000001881,5767865.826349999755621,9,"23",Milse / Altenhagen,"93",13905060.894137799739838
4,AWO Kita und Familienzentrum Altenhagen,33729.000000000000000,Bielefeld,Am Franzhof,6.000000000000000,,x,,475111.461019999987911,5766489.951360000297427,9,"23",Milse / Altenhagen,"93",13905060.894137799739838
14,AWO Kita und Familienzentrum Moenkamp,33729.000000000000000,Bielefeld,Moenkamp,19.000000000000000,,x,,474167.168020000040997,5767412.317350000143051,9,"23",Milse / Altenhagen,"93",13905060.894137799739838
